dir,weighted_score,wirelength_score,area_score,temperature_score,aspect_dev_score,worst_case_weighted_score,avg_wirelength,avg_area,avg_temp_K,avg_aspect_dev
output_gurobi_EMIB_chiplet_5_6_01_07,0.4086477791627213,0.41974777050258094,0.4154173046114448,0.4318613794003865,0.28539842808397675,0.6923190056921732,49875.508888888886,888.3155555555555,358.8977777777778,0.292
output_gurobi_EMIB_chiplet_5_6_01_08,0.41497165927208984,0.4298649571930157,0.4197810181180114,0.45493972390476345,0.23595949507352723,0.692331020542528,49921.46111111111,887.2122222222222,359.0888888888889,0.24266666666666664
output_gurobi_EMIB_chiplet_5_6_01_02,0.41843669662821387,0.360954345167007,0.1508192738814006,0.7114724815763177,0.5146286644079633,0.6143164353631289,49621.62111111111,850.3266666666667,360.47777777777776,0.4842222222222222
output_gurobi_EMIB_chiplet_5_6_01_06,0.4204653334358514,0.3795769305013477,0.41736662235023625,0.4795316302964438,0.3752277849144307,0.6923370279677058,49485.69222222222,888.5377777777778,359.04555555555555,0.3066666666666667
output_gurobi_EMIB_chiplet_5_6_01_01,0.4230471844557425,0.18654762050206336,0.28394121084313856,0.8523473491401782,0.26196330310128557,0.6546971563027802,49134.718888888885,866.338888888889,360.7811111111111,0.30477777777777776
output_gurobi_EMIB_chiplet_5_6_01_09,0.43413702948429816,0.4678417636556131,0.3756439722750504,0.49659638616236706,0.32112392856389105,0.6923670650935935,50211.67777777778,885.0933333333334,359.0777777777778,0.3031111111111111
output_gurobi_EMIB_chiplet_5_6_01_12,0.43962782338915746,0.4908626675482612,0.4423450329586838,0.4515846624470299,0.24190114502965032,0.692441707547233,50402.77,918.8544444444444,359.2322222222222,0.22344444444444445
output_gurobi_EMIB_chiplet_5_6_01_1,0.44197923352860613,0.46823549751599075,0.44274114480005905,0.38892714796359584,0.5200809644471249,0.692403109644658,50300.72,916.9588888888889,359.06,0.40944444444444444
output_gurobi_EMIB_chiplet_5_6_01_11,0.4470727899598896,0.5398183646113657,0.38287988867270595,0.39760897428207803,0.509806216900447,0.6923742740038062,50720.46333333333,894.9311111111111,359.3788888888889,0.407
output_gurobi_EMIB_chiplet_5_6_01_03,0.4537636394839055,0.4875841749590125,0.3823141069369928,0.5759186500735765,0.20018559893031057,0.6920892714146606,49884.65555555555,872.0222222222222,359.4411111111111,0.22455555555555554
output_gurobi_EMIB_chiplet_5_6_01_17,0.47695138294833395,0.7165786489691605,0.661562342186241,0.0930951895926911,0.3558052872390616,0.6251968503937008,51263.45,937.25,356.56666666666666,0.3681111111111111
output_gurobi_EMIB_chiplet_5_6_01_2,0.48397486916615,0.7502705451282539,0.6901055161728642,0.13546852443610363,0.11221493444983484,0.6351012757165588,51660.44222222222,947.4411111111111,356.73555555555555,0.19744444444444442
output_gurobi_EMIB_chiplet_5_6_01_19,0.4863084778625313,0.7443715399770912,0.669271096504057,0.12378885411428572,0.25079030683901066,0.6213316199325282,51694.19111111111,935.3644444444444,356.71,0.28788888888888886
output_gurobi_EMIB_chiplet_5_6_01_04,0.5000356843230154,0.37269189317141604,0.527851969326413,0.6228873785398592,0.43006312011708997,0.6921385323011165,49408.961111111115,889.3411111111111,359.63444444444445,0.3462222222222222
output_gurobi_EMIB_chiplet_5_6_01_13,0.5016368593488237,0.6122521210593331,0.4150278327349416,0.4960123319085237,0.44649173637984246,0.8048409252241765,51995.34777777777,907.37,360.16,0.306
output_gurobi_EMIB_chiplet_5_6_01_15,0.502542456196964,0.6375340337795082,0.6810851238317392,0.29355183732994444,0.18891157714606438,0.6923226101472794,51267.26111111111,939.3344444444444,358.4066666666667,0.216
output_gurobi_EMIB_chiplet_5_6_01_05,0.5076534103677456,0.38522928841429516,0.5604473751599803,0.6139840072856124,0.39755209109779305,0.7,49441.653333333335,892.9011111111112,359.59777777777776,0.3885555555555556
output_gurobi_EMIB_chiplet_5_6_01_14,0.508351786061429,0.617285303203971,0.6005349259015718,0.37428963983496133,0.3071882537927778,0.6923538487582027,50861.73777777778,933.9288888888889,359.37111111111113,0.3204444444444445
output_gurobi_EMIB_chiplet_5_6_01_16,0.5198986520630287,0.7211529752593726,0.6767870656329817,0.2178404906998404,0.3516449258537025,0.5926793730845015,51197.537777777776,929.5944444444444,357.93666666666667,0.3738888888888889
output_gurobi_EMIB_chiplet_5_6_01_18,0.5378592698850971,0.8253591090227183,0.6397337332993017,0.17914429280989605,0.44588129345522226,0.8160477546335716,52170.357777777775,947.0555555555555,357.7788888888889,0.404
