case,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3
acend910,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1271.7,1282.16,1282.16,1282.16,1282.16,1282.16,1282.16,1282.16,1443.46,1443.46,1443.46
cpu-dram,612,612,711.63,711.63,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.71,711.68,711.68,711.68,707.72,707.72,707.72,707.72,707.72,707.72,707.72,707.72
hp11_m,1075.33,1075.33,1075.33,1075.33,1075.33,1075.33,1075.33,1059.46,1075.33,1373.12,1192.87,1373.12,1277.82,1470.39,1462.04,1355.3,1462.04,1603.79,1430.57,1550.83,1550.83,1550.83,1550.83
hp6_m,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81,471.81
hp8_m,720.83,720.83,720.83,720.83,720.83,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5,712.5
multigpu,1381.38,1261.27,1261.27,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1362.14,1364.8,1364.8,1364.8,1364.8,1364.8,1679.77,1679.77
syn1,896,899,928,925,927.94,924,924,927.94,899,936,924,899,899,899,957,957,957,960,957,973.43,973.43,989.93,989.93
syn5,756,729,696,754,783,756,754,756,750,702,696,756,748,784,783,810,769.5,713,784,756,754,756,725
sys_micro150,612,612,711.63,711.63,711.68,711.68,711.68,711.68,711.68,711.68,711.68,711.71,711.68,711.68,711.68,707.72,707.72,707.72,707.72,707.72,707.72,707.72,707.72
